No.,Title,Original_Release_Date,English_Release_Date
1,Izuku Midoriya: OriginMidoriya Izuku: Orijin (緑谷出久：オリジン),2014-11-04,2015-08-04
2,"Rage, You Damned NerdTakere Kusonādo (猛れクソナード)",2015-01-05,2015-11-03
3,All MightŌrumaito (オールマイト),2015-04-03,2016-02-02
4,The Boy Born With EverythingSubete wo Motte Umareta Otoko no Ko (すべてを持って生まれた男の子),2015-06-04,2016-05-03
5,Shoto Todoroki: OriginTodoroki Shōto: Origin (轟焦凍：オリジン),2015-08-04,2016-08-02
6,StrugglingUgomeku (蠢く),2015-11-04,2016-11-01
7,Katsuki Bakugo: OriginBakugō Katsuki: Origin (爆豪勝己：オリジン),2016-02-04,2017-02-07
8,Yaoyorozu RisingYaoyorozu: Raijingu (八百万：ライジング),2016-04-04,2017-05-02
9,My HeroBoku no Hīrō (僕のヒーロー),2016-06-03,2017-08-01
10,All For OneŌru Fō Wan (オール・フォー・ワン),2016-09-02,2017-11-07
11,"End of the Beginning, Beginning of the EndHajimari no Owari Owari no Hajimari (始まりの終わり 終わりの始まり)",2016-11-04,2018-02-06
12,The TestZa Shiken (THE 試験),2017-02-03,2018-04-03
13,"A Talk About Your QuirkTemee no ""Kosei"" no Hanashida (てめェの""個性""の話だ)",2017-04-04,2018-06-05
14,OverhaulŌbāhōru (オーバーホール),2017-06-02,2018-08-07
15,Fighting FateAragau Unmei (抗う運命),2017-09-04,2018-10-02
16,"Red RiotReddo Raiotto (.mw-parser-output .templateruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output .templateruby.large{font-size:250%}.mw-parser-output .templateruby.large>rt{font-size:50%}烈怒頼雄斗(レッドライオット))",2017-11-02,2018-12-04
17,LemillionRumirion (ルミリオン),2018-02-02,2019-02-05
18,Bright FutureAkarui Mirai (明るい将来),2018-04-04,2019-04-02
19,School FestivalBunkasai (文化祭),2018-07-04,2019-06-04
20,School Festival Start!!Kaisai Bunkasai!! (開催文化祭!!),2018-09-04,2019-08-06
21,Why He Gets Back UpKare wa Naze Tachi Tsuzuketa ka (彼は何故立ち続けたか),2018-12-04,2019-10-01
22,That Which is InheritedUketsugu Mono (受け継ぐモノ),2019-02-04,2019-12-03
23,Our BrawlBokura no Dairansen (ぼくらの大乱戦),2019-05-02,2020-02-04
24,All It Takes Is One Bad Day,2019-08-02,2020-06-02
25,Tomura Shigaraki: OriginShigaraki Tomura: Orijin (死柄木弔：オリジン),2019-12-04,2020-10-06
26,"The High, Deep Blue SkySora, Takaku Gunjō (空、高く群青)",2020-03-04,2021-01-05
27,One's JusticeWanzu Jasutisu (ワンズ ジャスティス),2020-07-03,2021-04-06
28,The Thrill of DestructionHametsu no Borutēji (破滅のボルテージ),2020-09-04,2021-06-01
29,Katsuki Bakugo RisingBakugō Katsuki: Raijingu (爆豪勝己 : ライジング),2021-01-04,2021-09-07
30,Dabi's DanceDabi Dansu (ダビダンス),2021-04-02,2022-03-01
31,Izuku Midoriya and Toshinori YagiMidoriya Izuku to Yagi Toshinori (緑みどり谷や出いず久くと八や木ぎ俊とし典のり),2021-08-04,2022-07-05
32,Your TurnZa Nekusuto (THE(ザ) NEXT(ネクスト)),2021-10-04,2022-10-04
33,From Class A to One For AllĒ-Gumi kara Wan Fō Ōru e (A組からOFA(ワン・フォー・オール)へ),2022-02-04,2023-02-07
34,United States of AmericaAmerika (アメリカ),2022-05-02,2023-05-02
35,Battle Flame,2022-07-04,2023-09-05
36,Two FlashfiresFutatsu no Kakushaku (二つの赫灼),2022-10-04,2023-12-05
37,"Those Who Defend, Those Who ViolateFusegu Mono to Okasu Mono (禦ぐ者と侵す者)",2023-02-03,
