1,2
Aizawa,
Deku,Izuku
Katsuki,
Todoroki Sho,
All Might,
Uraraka,
Shinsou Hitoshi,
Denki,
Yamada Hizashi,
Inko,
Dabi,Todoroki Touya
Mina,
Shigaraki Tomura,
Iida,
Keigo,
Yaoyorozu Momo,
Todoroki Enji,
Sero,
Jirou Kyouka,
All For One,AFO
Toga Himiko,Himiko Toga
Asui Tsuyu,
Midnight,
Eri,
Mitsuki,
Tsukauchi Naomasa,Naomasa Tsukauchi
Tokoyami,
Hatsume Mei,Mei Hatsume
Kurogiri,
Usagiyama Rumi,
Midoriya Hisashi,
Bubaigawara,
Masaru,
Todoroki Fuyumi,
Overhaul,
Monoma Neito,
Mirio,
Natsuo,
Recovery Girl,
Nezu,
Ojiro,
Aoyama,
Todoroki Rei,
Mineta Minoru,
Amajiki Tamaki,
Iguchi Shuuichi,
Mr. Compress,
Sir Nighteye,
Shouji Mezou,
Chizome,
Hadou Nejire,
Torino,
Satou Rikidou,Sato Rikido
Best Jeanist,
Itsuka,
Melissa,
Lady Nagant,
Camie,
Vlad,
Tetsutetsu,
Shimura Nana,
Snipe,
Tokage,
Fat Gum,
Power Loader,
Hikiishi,
Mount Lady,
Ryuukyuu,
Yoichi,First
Hound Dog,
Inasa,
Kodai,
Woods,
Ishiyama,
Edgeshot,
Ibara,
Tsunotori Pony,
Garaki,
Yanagi,
Ectoplasm,
Giran,
Kinoko,
David Shield,
Shindou You,
Re-Destro,
Burnin,
