No.overall,No. inseason,Title,Storyboarded by,Directed by,Written by,Viewership rating,Original_Air_Date,English_Air_Date
64,1,"""The Scoop on U.A. Class 1-A""Transcription: ""Sukūpu U.A. Ichi-Nen Ei-Gumi"" (Japanese: スクープ雄英1年A組)",Masahiro Mukai,Naomi Nakayama,Yōsuke Kuroda,,2019-10-12,
65,2,"""Overhaul""Transcription: ""Ōbāhōru"" (Japanese: オーバーホール)",Masahiro Mukai,Tomo Ōkubo,Yōsuke Kuroda,4.5,2019-10-19,2018-08-11
66,3,"""Boy Meets...""Transcription: ""Bōi Mītsu"" (Japanese: ボーイ・ミーツ...)",Takashi Kawabata,Masashi Abe,Yōsuke Kuroda,4.0,2019-10-26,2018-08-18
67,4,"""Fighting Fate""Transcription: ""Aragau Unmei"" (Japanese: 抗う運命)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,4.6,2019-11-09,2018-08-25
68,5,"""Let's Go, Gutsy Red Riot""Transcription: ""Gattsuda Rettsura Reddo Raiotto"" (Japanese: ガッツだレッツラレッドライオット)",Shinji Ishihira,Tetsuya Miyanishi[o],Yōsuke Kuroda,3.2,2019-11-16,2018-09-08
69,6,"""An Unpleasant Talk""Transcription: ""Iyana Hanashi"" (Japanese: 嫌な話)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,4.1,2019-11-23,2018-09-15
70,7,"""GO!!""",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,4.8,2019-11-30,2018-09-22
71,8,"""Suneater of the Big Three""Transcription: ""Biggu 3 no San'ītā"" (Japanese: ビッグ3のサンイーター)",Shinji Satō,Masashi Abe,Yōsuke Kuroda,4.8,2019-12-07,2018-09-29
72,9,"""Red Riot""Transcription: ""Reddo Raiotto"" (Japanese: .mw-parser-output .templateruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output .templateruby.large{font-size:250%}.mw-parser-output .templateruby.large>rt{font-size:50%}烈怒頼雄斗（レッドライオット）)",Shinji Ishihira,Shōji Ikeno,Yōsuke Kuroda,3.7,2019-12-14,2018-10-06
73,10,"""Temp Squad""Transcription: ""Shukkō"" (Japanese: 出向)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,3.8,2019-12-21,2018-10-13
74,11,"""Lemillion""Transcription: ""Rumirion"" (Japanese: ルミリオン)",Tetsuya Miyanishi,Tetsuya Miyanishi,Yōsuke Kuroda,4.1,2019-12-28,2018-10-20
75,12,"""Unforeseen Hope""Transcription: ""Mienai Kibō"" (Japanese: 見えない希望)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,3.3,2020-01-04,2018-10-27
76,13,"""Infinite 100%""Transcription: ""Mugen Hyaku-pāsento"" (Japanese: 無限100%)","Takashi Kawabata,Masahiro Mukai","Masashi Abe,Tetsuya Miyanishi",Yōsuke Kuroda,4.3,2020-01-11,2018-11-03
77,14,"""Bright Future""Transcription: ""Akarui Mirai"" (Japanese: 明るい未来)",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,3.4,2020-01-18,2018-11-10
78,15,"""Smoldering Flames""Transcription: ""Kusuburu Honō"" (Japanese: 燻る炎)",Naomi Nakayama,Shōji Ikeno,Yōsuke Kuroda,4.3,2020-01-25,2018-11-24
79,16,"""Win Those Kids' Hearts""Transcription: ""Tsukame Gaki Kokoro"" (Japanese: 掴めガキ心)",Hidekazu Hara,Hidekazu Hara,Yōsuke Kuroda,5.2,2020-02-01,2018-12-01
80,17,"""Relief for License Trainees""Transcription: ""Hokkore Karimen Kōshū"" (Japanese: ホッコれ仮免講習)",Takashi Kawabata,Masashi Abe,Yōsuke Kuroda,4.3,2020-02-08,2018-12-08
81,18,"""School Festival""Transcription: ""Bunkasai"" (Japanese: 文化祭)",Shinji Ishihira,Tetsuya Miyanishi,Yōsuke Kuroda,4.5,2020-02-15,2018-12-15
82,19,"""Prepping for the School Festival Is the Funnest Part""Transcription: ""Bunkasai-tte Junbi-shiteru Toki ga Ichiban Tanoshii yo ne"" (Japanese: 文化祭って準備してる時が一番楽しいよね)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,4.3,2020-02-22,2019-01-06
83,20,"""Gold Tips Imperial""Transcription: ""Gōrudo Tippusu Inperiaru"" (Japanese: ゴールドティップスインペリアル)",Naomi Nakayama,Masashi Abe,Yōsuke Kuroda,4.4,2020-02-29,2019-01-13
84,21,"""Deku vs. Gentle Criminal""Transcription: ""Deku Bāsasu Jentoru Kuriminaru"" (Japanese: デクVSジェントル・クリミナル)",Shinji Ishihira,Shōji Ikeno,Yōsuke Kuroda,4.6,2020-03-07,2019-01-20
85,22,"""School Festival Start!!""Transcription: ""Kaisai Bunkasai!!"" (Japanese: 開催文化祭!!)",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,4.1,2020-03-14,2019-01-27
86,23,"""Let It Flow! School Festival!""Transcription: ""Tare Nagase! Bunkasai!"" (Japanese: 垂れ流せ！文化祭！)",Shinji Satō,Shōji Ikeno,Yōsuke Kuroda,3.8,2020-03-21,2019-02-03
87,24,"""Japanese Hero Billboard Chart""Transcription: ""Hīrō Birubōdo Chāto Jeipī"" (Japanese: ヒーロービルボードチャートJP)",Naomi Nakayama,Masashi Abe,Yōsuke Kuroda,6.0,2020-03-28,2019-02-10
88,25,"""His Start""Transcription: ""Hajimarino"" (Japanese: 始まりの)",Tetsuya Miyanishi,Tetsuya Miyanishi,Yōsuke Kuroda,5.6,2020-04-04,2019-02-17
